weather,time,companion,mood,spot,isHeavy,isBitter,isStrong,isBurning,taste,place,pairing,reviewerId,reviewedDrinkId
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,1
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,2
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,3
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,4
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,5
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,6
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,7
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,8
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,9
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,10
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,11
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,12
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,13
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,14
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,15
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,16
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,17
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,18
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,19
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,20
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,21
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,22
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,23
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,24
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Fried,1,25
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Grilled,1,26
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Grilled,1,27
Rainy,Noon,Alone,Funny,1,1,1,1,1,Fruity,,Grilled,1,28
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,29
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,30
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,31
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,32
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,33
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,34
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,35
Rainy,Noon,Alone,Funny,1,2,2,2,2,Fruity,,Grilled,1,36
Rainy,Noon,Alone,Serious,1,2,2,2,2,Fruity,,Grilled,1,37
Rainy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,38
Rainy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,39
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,40
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,41
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,42
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,43
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,44
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,45
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,46
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,47
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,48
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,49
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,50
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,51
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,52
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,53
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,54
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Grilled,1,55
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,56
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,57
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,58
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,59
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,60
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,61
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,62
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,63
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,64
Snowy,Evening,Alone,Serious,1,2,2,2,2,Woody,,Cheese,1,65
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Woody,,Cheese,1,66
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Woody,,Cheese,1,67
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Woody,,Cheese,1,68
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Woody,,Cheese,1,69
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,70
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,71
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,72
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,73
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,74
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,75
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,76
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Cheese,1,77
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,78
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,79
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,80
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,81
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,82
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,83
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,84
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,85
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,86
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,87
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,88
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,89
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,90
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,91
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,92
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,93
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,94
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,95
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,96
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,97
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Salad,1,98
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,99
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,100
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,101
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,102
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,103
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,104
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,105
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,106
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,107
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Flower,,Fruits,1,108
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,109
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,110
Snowy,Evening,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,111
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,112
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,113
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,114
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,115
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,116
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,117
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Fruits,1,118
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,119
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,120
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,121
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,122
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,123
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,124
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,125
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,126
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,127
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,128
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,129
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,130
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,131
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,132
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,133
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,134
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,135
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,136
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,137
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,138
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,139
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,140
Snowy,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,141
Sunny,Midnight,Alone,Romantic,1,2,2,2,2,Austere,,Soup,1,142
Sunny,Midnight,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,143
Sunny,Midnight,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,144
Sunny,Midnight,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,145
Sunny,Midnight,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,146
Sunny,Midnight,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,147
Sunny,Midnight,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,148
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,149
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,150
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,151
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,152
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,153
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,154
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,155
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,156
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,157
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,158
Sunny,Dawn,Alone,Romantic,1,3,3,3,3,Austere,,AppetizersSnacks,1,159
